Date,Open,High,Low,Close,Adj Close,Volume
3/4/2025  ,1.0025909878683448,1.0428409525054558,0.998931900174062,1.0318636894226074,1.0318636894226074,  1767317
4/4/2025  ,1.0099090755416167,1.0318635998004613,0.9989318134121945,1.0135681629180908,1.0135681629180908,  1286650
7/4/2025  ,0.9769773470288297,0.9916136974017735,0.9440454714501763,0.9586818218231201,0.9586818218231201,  3426472
8/4/2025  ,0.9733182428043282,0.9989318555193155,0.9733182428043282,0.9806364178657532,0.9806364178657532,  1717508
9/4/2025  ,0.9660000327655244,1.0336931932524038,0.9513635959331093,1.024545431137085,1.024545431137085,  4670599
10/4/2025  ,1.0684545755687387,1.0867500127039171,1.0245454392047844,1.0538182258605957,1.0538182258605957,  3552192
11/4/2025  ,1.04649995552642,1.04649995552642,1.009909081544195,1.024545431137085,1.024545431137085,  2118124
14/4/2025  ,1.0282045912699411,1.0428409418981988,1.0062500653275548,1.0099091529846191,1.0099091529846191,   956888
15/4/2025  ,1.0099091055638647,1.019056867896754,0.9842954931671131,0.9952727556228638,0.9952727556228638,  1418842
16/4/2025  ,0.9842954874038696,1.006250012186823,0.980636399940044,0.9842954874038696,0.9842954874038696,  1864377
17/4/2025  ,0.9842954579278497,1.0099090694075954,0.976977283219351,1.0025908946990967,1.0025908946990967,  1889509
22/4/2025  ,0.9916136987200385,1.0135682243086408,0.9733182607295364,0.9769773483276367,0.9769773483276367,  2979756
23/4/2025  ,1.0025909125804902,1.0099090874195098,0.9879545629024505,0.9989318251609802,0.9989318251609802,  2995614
24/4/2025  ,0.9989318544272902,1.035522729694414,0.9916136793738654,1.017227292060852,1.017227292060852,  2315896
28/4/2025  ,1.024545431137085,1.0428408681281975,1.01722725634064,1.024545431137085,1.024545431137085,  2364303
29/4/2025  ,1.0245454392047844,1.0721136629957744,1.0227159391110292,1.0538182258605957,1.0538182258605957,  2749284
30/4/2025  ,1.0611364066321491,1.0721136689744715,1.0501590570503003,1.0647954940795898,1.0647954940795898,  1803202
1/5/2025  ,1.0757727792303813,1.1233409170556488,1.0757727792303813,1.1087045669555664,1.1087045669555664,  2536644
2/5/2025  ,1.1196818661020074,1.1306591290356116,1.097727340234799,1.1013864278793335,1.1013864278793335,  1589925
5/5/2025  ,1.123340888915628,1.167250025355466,1.11236362661555,1.14529550075531,1.14529550075531,  4004985
6/5/2025  ,1.1709091187826646,1.196522730947295,1.145295506618034,1.1562727689743042,1.1562727689743042,  8442083
7/5/2025  ,1.1562728159332822,1.178227341537448,1.1343182030895869,1.1709091663360596,1.1709091663360596,  8037573
8/5/2025  ,1.1818863728885245,1.1837158729820352,1.1233408868242463,1.1269999742507935,1.1269999742507935,  8896674
9/5/2025  ,1.100000023841858,1.1699999570846558,1.0700000524520874,1.1549999713897705,1.1549999713897705,  7265420
12/5/2025  ,1.1399999856948853,1.1699999570846558,1.0800000429153442,1.090000033378601,1.090000033378601,  6151368
13/5/2025  ,1.1100000143051147,1.125    ,1.0774999856948853,1.0850000381469727,1.0850000381469727,  5837436
14/5/2025  ,1.0950000286102295,1.1050000190734863,1.0499999523162842,1.0750000476837158,1.0750000476837158,  3394498
15/5/2025  ,1.0700000524520874,1.0800000429153442,1.0499999523162842,1.0750000476837158,1.0750000476837158,  2116134
16/5/2025  ,1.0800000429153442,1.0950000286102295,1.065000057220459,1.0800000429153442,1.0800000429153442,  2611929
19/5/2025  ,1.0800000429153442,1.0850000381469727,1.0499999523162842,1.065000057220459,1.065000057220459,  1923086
20/5/2025  ,1.059999942779541,1.0700000524520874,1.0499999523162842,1.059999942779541,1.059999942779541,  1996050
21/5/2025  ,1.0700000524520874,1.0700000524520874,1.0299999713897705,1.0399999618530273,1.0399999618530273,  2084766
22/5/2025  ,1.0299999713897705,1.0299999713897705,0.9950000047683716,0.9950000047683716,0.9950000047683716,  3134697
23/5/2025  ,0.9950000047683716,1.0199999809265137,0.9700000286102295,0.9750000238418579,0.9750000238418579,  6898100
26/5/2025  ,0.9800000190734863,0.9800000190734863,0.949999988079071,0.9549999833106995,0.9549999833106995,  3326623
27/5/2025  ,0.949999988079071,0.9524999856948853,0.8799999952316284,0.8849999904632568,0.8849999904632568,  4883516
28/5/2025  ,0.8999999761581421,0.9549999833106995,0.8849999904632568,0.9049999713897705,0.9049999713897705,  8176189
